d,defect_length,seed,detection_time,alpha_min_reached,recovery_time,sentinel_payoff,tft_payoff
20,500,15,1,0.050000,48,3485.8304,3501.0000
20,10,16,1,0.050000,33,3018.0113,3011.0000
20,50,16,1,0.050000,33,3055.6634,3051.0000
20,100,16,1,0.050000,33,3103.6202,3101.0000
20,200,16,1,0.050000,33,3198.5332,3201.0000
20,500,16,1,0.050000,33,3484.0513,3501.0000
20,10,17,1,0.050000,33,3034.4672,3011.0000
20,50,17,1,0.050000,33,3072.6973,3051.0000
20,100,17,1,0.050000,39,3121.1659,3101.0000
20,200,17,1,0.050000,44,3215.7804,3201.0000
20,500,17,1,0.050000,43,3503.3118,3501.0000
20,10,18,1,0.050000,34,3049.2581,3011.0000
20,50,18,1,0.050000,51,3087.9676,3051.0000
20,100,18,1,0.050000,73,3136.4381,3101.0000
20,200,18,1,0.050000,75,3232.4963,3201.0000
20,500,18,1,0.050000,76,3524.1137,3501.0000
20,10,19,0,0.050000,500,3057.3997,3011.0000
20,50,19,0,0.050000,500,3095.8412,3051.0000
20,100,19,0,0.050000,500,3144.4261,3101.0000
20,200,19,0,0.050000,500,3240.7876,3201.0000
20,500,19,0,0.050000,500,3533.7166,3501.0000
30,10,0,1,0.050000,34,3032.5106,3011.0000
30,50,0,1,0.050000,43,3070.8864,3051.0000
30,100,0,1,0.050000,64,3118.8407,3101.0000
30,200,0,1,0.050000,72,3215.3389,3201.0000
30,500,0,1,0.050000,67,3505.8368,3501.0000
30,10,1,1,0.050000,34,3029.6870,3011.0000
30,50,1,1,0.050000,35,3067.9870,3051.0000
30,100,1,1,0.050000,47,3115.9505,3101.0000
30,200,1,1,0.050000,53,3211.6709,3201.0000
30,500,1,1,0.050000,53,3499.2009,3501.0000
30,10,2,1,0.050000,34,3025.1084,3011.0000
30,50,2,1,0.050000,33,3063.7053,3051.0000
30,100,2,1,0.050000,37,3111.5938,3101.0000
30,200,2,1,0.050000,40,3206.9477,3201.0000
30,500,2,1,0.050000,45,3493.8918,3501.0000
30,10,3,1,0.050000,33,3075.6177,3011.0000
30,50,3,1,0.050000,39,3113.3069,3051.0000
30,100,3,1,0.050000,53,3162.5785,3101.0000
30,200,3,1,0.050000,54,3258.2522,3201.0000
30,500,3,1,0.050000,59,3547.7625,3501.0000
30,10,4,1,0.050000,33,3030.3123,3011.0000
30,50,4,1,0.050000,33,3068.2358,3051.0000
30,100,4,1,0.050000,35,3116.6299,3101.0000
30,200,4,1,0.050000,39,3212.0212,3201.0000
30,500,4,1,0.050000,39,3498.8242,3501.0000
30,10,5,1,0.050000,33,3026.7061,3011.0000
30,50,5,1,0.050000,35,3065.0755,3051.0000
30,100,5,1,0.050000,44,3112.8905,3101.0000
30,200,5,1,0.050000,50,3208.6252,3201.0000
30,500,5,1,0.050000,52,3496.6567,3501.0000
30,10,6,1,0.050000,34,3046.5750,3011.0000
30,50,6,1,0.050000,39,3084.6725,3051.0000
30,100,6,1,0.050000,58,3132.1488,3101.0000
30,200,6,1,0.050000,64,3228.7345,3201.0000
30,500,6,1,0.050000,65,3517.2998,3501.0000
30,10,7,1,0.050000,34,3149.2920,3011.0000
30,50,7,1,0.050000,72,3185.4245,3051.0000
30,100,7,1,0.050000,86,3232.0607,3101.0000
30,200,7,1,0.050000,91,3329.2301,3201.0000
30,500,7,1,0.050000,94,3618.8513,3501.0000
