mode,alpha,seed,H,kl_noisy,mean_body_out,rho_current,action_var
coupled,0.5,2,225,0.000000,0.977393,0.9900,0.02420914
coupled,0.5,2,240,0.209416,0.977599,0.9900,0.02416203
coupled,0.5,2,255,0.000000,0.977942,0.9900,0.02414208
coupled,0.5,2,270,0.000000,0.978076,0.9900,0.02415859
coupled,0.5,2,285,0.055052,0.977856,0.9900,0.02409000
coupled,0.5,2,300,0.177041,0.978013,0.9900,0.02414921
coupled,1.0,2,0,1.074943,0.918079,0.8168,0.00250118
coupled,1.0,2,15,0.096489,0.987412,0.9900,0.00002308
coupled,1.0,2,30,0.082815,0.985493,0.9900,0.00003026
coupled,1.0,2,45,0.274819,0.982877,0.9900,0.00003639
coupled,1.0,2,60,0.031470,0.982019,0.9900,0.00004320
coupled,1.0,2,75,0.053400,0.981583,0.9900,0.00004033
coupled,1.0,2,90,0.197163,0.981100,0.9900,0.00004508
coupled,1.0,2,105,0.105003,0.980714,0.9900,0.00004883
coupled,1.0,2,120,0.111219,0.980234,0.9900,0.00004862
coupled,1.0,2,135,0.140412,0.979813,0.9900,0.00004694
coupled,1.0,2,150,0.133701,0.979613,0.9900,0.00005122
coupled,1.0,2,165,0.176921,0.978943,0.9900,0.00005531
coupled,1.0,2,180,0.029508,0.979090,0.9900,0.00005106
coupled,1.0,2,195,0.185499,0.979129,0.9900,0.00005272
coupled,1.0,2,210,0.269204,0.978952,0.9900,0.00005216
coupled,1.0,2,225,0.000000,0.978674,0.9900,0.00006282
coupled,1.0,2,240,0.208332,0.978819,0.9900,0.00005648
coupled,1.0,2,255,0.000000,0.979179,0.9900,0.00005046
coupled,1.0,2,270,0.000000,0.979333,0.9900,0.00005429
coupled,1.0,2,285,0.034238,0.979075,0.9900,0.00005152
coupled,1.0,2,300,0.211475,0.979214,0.9900,0.00005189
coupled,-1.0,2,0,2.340624,0.890266,0.8168,0.06046687
coupled,-1.0,2,15,0.237262,0.985600,0.9900,0.04542528
coupled,-1.0,2,30,0.304860,0.983788,0.9900,0.04482378
coupled,-1.0,2,45,0.420872,0.980751,0.9900,0.04439435
coupled,-1.0,2,60,0.208450,0.979719,0.9900,0.04452991
coupled,-1.0,2,75,0.224011,0.979187,0.9900,0.04448108
coupled,-1.0,2,90,0.310580,0.978859,0.9900,0.04439967
coupled,-1.0,2,105,0.232453,0.978371,0.9900,0.04444588
coupled,-1.0,2,120,0.291717,0.977807,0.9900,0.04424146
coupled,-1.0,2,135,0.267819,0.977558,0.9900,0.04393979
coupled,-1.0,2,150,0.247984,0.977365,0.9900,0.04405897
coupled,-1.0,2,165,0.350238,0.976531,0.9900,0.04425808
coupled,-1.0,2,180,0.198966,0.976767,0.9900,0.04404986
coupled,-1.0,2,195,0.275796,0.976728,0.9900,0.04405808
coupled,-1.0,2,210,0.436004,0.976426,0.9900,0.04428480
coupled,-1.0,2,225,0.129345,0.976103,0.9900,0.04427071
coupled,-1.0,2,240,0.368897,0.976434,0.9900,0.04427184
coupled,-1.0,2,255,0.066460,0.976737,0.9900,0.04428595
coupled,-1.0,2,270,0.106857,0.976818,0.9900,0.04425873
coupled,-1.0,2,285,0.180911,0.976645,0.9900,0.04419671
coupled,-1.0,2,300,0.330139,0.976869,0.9900,0.04419015
coupled,0.0,3,0,2.992410,0.872038,0.9000,0.09423822
coupled,0.0,3,15,1.736680,0.964949,0.9900,0.09423822
coupled,0.0,3,30,1.926250,0.971824,0.9900,0.09423822
coupled,0.0,3,45,1.557408,0.969542,0.9900,0.09423822
coupled,0.0,3,60,1.418749,0.964381,0.9900,0.09423822
coupled,0.0,3,75,1.256970,0.960465,0.9900,0.09423822
coupled,0.0,3,90,1.277491,0.956797,0.9900,0.09423822
coupled,0.0,3,105,1.360607,0.955042,0.9900,0.09423822
coupled,0.0,3,120,1.257357,0.953118,0.9900,0.09423822
coupled,0.0,3,135,1.515209,0.953634,0.9900,0.09423822
coupled,0.0,3,150,1.362549,0.954244,0.9900,0.09423822
coupled,0.0,3,165,1.331525,0.954495,0.9900,0.09423822
coupled,0.0,3,180,1.497306,0.954361,0.9900,0.09423822
coupled,0.0,3,195,1.313529,0.955314,0.9900,0.09423822
coupled,0.0,3,210,1.148526,0.954971,0.9900,0.09423822
coupled,0.0,3,225,1.399903,0.955218,0.9900,0.09423822
coupled,0.0,3,240,1.124929,0.954556,0.9900,0.09423822
coupled,0.0,3,255,1.324485,0.955266,0.9900,0.09423822
coupled,0.0,3,270,1.384477,0.954768,0.9900,0.09423822
coupled,0.0,3,285,1.311677,0.955316,0.9900,0.09423822
coupled,0.0,3,300,1.121771,0.954941,0.9900,0.09423822
coupled,0.5,3,0,2.268074,0.877961,0.9000,0.04956285
coupled,0.5,3,15,1.062654,0.965886,0.9900,0.02842559
coupled,0.5,3,30,1.382011,0.972586,0.9900,0.02710472
coupled,0.5,3,45,0.922503,0.970483,0.9900,0.02708095
coupled,0.5,3,60,0.809712,0.965563,0.9900,0.02752922
coupled,0.5,3,75,0.750171,0.961784,0.9900,0.02778888
coupled,0.5,3,90,0.730717,0.958114,0.9900,0.02815166
coupled,0.5,3,105,0.833659,0.956279,0.9900,0.02821671
coupled,0.5,3,120,0.750516,0.954202,0.9900,0.02874165
coupled,0.5,3,135,0.924033,0.954641,0.9900,0.02873429
coupled,0.5,3,150,0.809505,0.955285,0.9900,0.02849254
coupled,0.5,3,165,0.802510,0.955645,0.9900,0.02822130
coupled,0.5,3,180,0.967238,0.955693,0.9900,0.02864096
coupled,0.5,3,195,0.778564,0.956760,0.9900,0.02828922
coupled,0.5,3,210,0.591047,0.956629,0.9900,0.02835313
coupled,0.5,3,225,0.884455,0.956858,0.9900,0.02836743
coupled,0.5,3,240,0.603703,0.956341,0.9900,0.02834088
coupled,0.5,3,255,0.810799,0.957106,0.9900,0.02807481
coupled,0.5,3,270,0.835614,0.956601,0.9900,0.02831260
coupled,0.5,3,285,0.766232,0.957121,0.9900,0.02807340
coupled,0.5,3,300,0.619400,0.956785,0.9900,0.02819927
coupled,1.0,3,0,1.799672,0.881695,0.9000,0.02292812
coupled,1.0,3,15,1.094800,0.966163,0.9900,0.00110047
coupled,1.0,3,30,1.475164,0.972631,0.9900,0.00059448
coupled,1.0,3,45,0.954923,0.970618,0.9900,0.00058420
coupled,1.0,3,60,0.846182,0.965866,0.9900,0.00075469
coupled,1.0,3,75,0.774245,0.962232,0.9900,0.00085518
coupled,1.0,3,90,0.744398,0.958625,0.9900,0.00099744
coupled,1.0,3,105,0.887269,0.956678,0.9900,0.00104699
coupled,1.0,3,120,0.777985,0.954429,0.9900,0.00128036
coupled,1.0,3,135,0.942469,0.954697,0.9900,0.00123803
coupled,1.0,3,150,0.838673,0.955218,0.9900,0.00118448
coupled,1.0,3,165,0.813897,0.955521,0.9900,0.00106101
coupled,1.0,3,180,0.982165,0.955639,0.9900,0.00121210
coupled,1.0,3,195,0.814082,0.956771,0.9900,0.00106505
coupled,1.0,3,210,0.595602,0.956804,0.9900,0.00112620
coupled,1.0,3,225,0.902534,0.957135,0.9900,0.00108293
coupled,1.0,3,240,0.612038,0.956760,0.9900,0.00110664
coupled,1.0,3,255,0.849217,0.957591,0.9900,0.00100021
coupled,1.0,3,270,0.863826,0.957154,0.9900,0.00107588
coupled,1.0,3,285,0.795068,0.957673,0.9900,0.00097334
coupled,1.0,3,300,0.676711,0.957400,0.9900,0.00103701
coupled,-1.0,3,0,2.603168,0.874792,0.9000,0.07307971
coupled,-1.0,3,15,1.208666,0.965807,0.9900,0.04911622
